Objective Value: -0.291915
Variable Values:
CHOLATEtpp: 0
NADHXD: 0
NADPHHR: 0
NADPHHS: 0
4ABZGLUH: 0
4ABZGLUtr: 0
NADHHS: 0
APH180: 0
NADHXE: 0
SELabcpp: 0
PHDA: 0
TEO2M: 0
PACOAT: 0
CYSItpp: 0
PYK2: 0
PYK3: 0
APH181: 0
DHPTDNR: 0
DHPTDNRN: 0
GTHPi: 0
SEPHCHCS: 0
DHNCOAS: 0
PCNO: 0
PYK6: 0
DHNCOAT: 0
FADt: 0
HPACOAT: 0
PUACGAMtr: 0
DC6PDA: 0
5DGLCNR: 0
PIt2rpp: 0
FADtex: 0
AI2abcpp: 0
PAI2I: 0
4HBZt3pp: 0
CURR: 0
LKDRA: 0
LEUt2rpp: 0
LCTStpp: 0
ILEt3pp: 0
METNA: 0
METt3pp: 0
FESD1s: -6.65434e-13
GSNt3pp: 0
CLtipp: 0
5DKGR: 0
XYHDL: 0
2DGLCtex: 0
E4PP: 0
PUACGAMS: 0
PItpp: -1.18014e-13
RU5PP: 0
EX_doxrbcn_e: 0
6D6SFK: 0
3SLAR: 0
LEUt3pp: 0
INSt3pp: 0
INDOLEt2rpp: 0
SQtex: 0
ILEt2rpp: 0
GLYtpp: 0
EX_dhps_e: 0
MOX: 0
URATEtex: 0
EX_cs1_e: 0
EX_fusa_e: 0
CBL1tonex: 0
CBItonex: 0
ARHGDx: 0
CPL: 0
EX_mepn_e: 0
PSURItpp: 0
CYSTA: 0
FE3DCITR5: 0
CH4t2pp: 0
EX_cm_e: 0
4HTHRA: 0
EX_novbcn_e: 0
I2FE2SR: 0
GAPP: 0
TYRL: 0
METGLCURt2pp: 0
METGLCURtex: 0
INOSTO: 0
THZPSN3: 0
HPYRP: 0
PSURIK: 0
FMNt: 0
AI2tex: 0
PAI2T: 0
CUt2pp: 0
Ftex: 0
APG3PAT120: 0
CYSItex: 0
SERtpp: 0
QUINDHyi: 0
DHCURR: 0
RHMND: 0
3HBZCT: 0
CXSAMS: 0
EX_2dglc_e: 0
THRt2rpp: 0
SERt2rpp: 0
DHGLYH: 0
PNSPA: 0
4HTHRK: 0
ACOAD1f: -3.41061e-13
AMPNTAT: 0
EX_sq_e: 0
APH120: 0
URATEtpp: 0
CS1tex: 0
ADOCBLtonex: 0
SQGH: 0
URAtpp: 0
ASPtpp: 0
FUMt1pp: -1000
SUCCt1pp: 1000
QUINDH: 0
PETNT181pp: 0
ARMEPNS: 0
LCARSyi: 0
MOCDS: 0
BIOMASS_Ec_iML1515_core_75p37M: 0
BIOMASS_Ec_iML1515_WT_75p37M: 0
RPNTPH: 0
PRCPD: 0
FUSAtex: 0
MEPNtex: 0
UDPGPT: 0
MEPNabcpp: 0
OMMBLHXy: 0
OPHHXy: 0
PROD3: 0
NOVBCNtex: 0
F1PP: 0
ACP1p: 0
EX_4abzglu_e: 0
EX_rfamp_e: 0
3HPADHi: 0
4ABZGLUtex: 0
QUIN2tex: 0
2HPTCOAT: 0
EX_metglcur_e: 0
EX_quin_e: 0
MC6PH: 0
FORCT: 0
SLNTabcpp: 0
VALt2rpp: 0
DHPTDCs2: 0
VALt3pp: 0
MN2tipp: 0
EX_3hpp_e: 0
PACCOAE: 0
OXDHCOAT: 0
HADPCOADH3: 0
O16A4COLIPAabctex: 0
COLIPAabctex: 0
ENLIPAabctex: 0
DM_mththf_c: 0
PYROX: 0
BMOGDS1: 0
MPTS: 0
MOCOS: 0
BMOGDS2: 0
FESD2s: 3.13436e-14
OCTNLL: 0
