"abbreviation"	"equation"	"lowbnd"	"uppbnd"	"obj_coef"
"HCINNMtex"	"3hcinnm_e <==> 3hcinnm_p"	-1000	1000	0
"HPPPNtex"	"3hpppn_e <==> 3hpppn_p"	-1000	1000	0
"ACtex"	"ac_e <==> ac_p"	-1000	1000	0
"ACALDtex"	"acald_e <==> acald_p"	-1000	1000	0
"CHRPL"	"chor_c --> 4hbz_c + pyr_c"	0	1000	0
"TDPAGTA"	"dtdp4d6dg_c + glu__L_c --> akg_c + dtdp4addg_c"	0	1000	0
"UACMAMO"	"(2) nad_c + uacmam_c + h2o_c --> (3) h_c + uacmamu_c + (2) nadh_c"	0	1000	0
"FBA3"	"s17bp_c <==> dhap_c + e4p_c"	-1000	1000	0
"PMPK"	"4ampm_c + atp_c --> adp_c + 2mahmp_c"	0	1000	0
"LCADi"	"nad_c + lald__L_c + h2o_c --> (2) h_c + lac__L_c + nadh_c"	0	1000	0
"ACMANAtex"	"acmana_e <==> acmana_p"	-1000	1000	0
"ACMUMtex"	"acmum_e --> acmum_p"	0	1000	0
"ACACT7r"	"accoa_c + tdcoa_c <==> 3ohdcoa_c + coa_c"	-1000	1000	0
"PSP_L"	"pser__L_c + h2o_c --> ser__L_c + pi_c"	0	1000	0
"ADK3"	"gtp_c + amp_c <==> adp_c + gdp_c"	-1000	1000	0
"GLUDC"	"h_c + glu__L_c --> 4abut_c + co2_c"	0	1000	0
"ACACT2r"	"accoa_c + btcoa_c <==> 3ohcoa_c + coa_c"	-1000	1000	0
"BSORy"	"h_c + nadph_c + btnso_c --> nadp_c + h2o_c + btn_c"	0	1000	0
"DMSOR2"	"2dmmql8_c + dmso_c --> 2dmmq8_c + h2o_c + dms_c"	0	1000	0
"ADSK"	"atp_c + aps_c --> h_c + adp_c + paps_c"	0	1000	0
"ACACT3r"	"accoa_c + hxcoa_c <==> 3oocoa_c + coa_c"	-1000	1000	0
"ACACT4r"	"accoa_c + occoa_c <==> 3odcoa_c + coa_c"	-1000	1000	0
"SUCCt2_2pp"	"(2) h_p + succ_p --> (2) h_c + succ_c"	0	1000	0
"SUCFUMtpp"	"fum_p + succ_c <==> succ_p + fum_c"	-1000	1000	0
"HSDy"	"hom__L_c + nadp_c <==> h_c + aspsa_c + nadph_c"	-1000	1000	0
"CYSTL"	"cyst__L_c + h2o_c --> nh4_c + pyr_c + hcys__L_c"	0	1000	0
"ACMAMUT"	"uacmamu_c + unaga_c --> h_c + unagamu_c + udp_c"	0	1000	0
"SHSL1"	"cys__L_c + suchms_c --> h_c + cyst__L_c + succ_c"	0	1000	0
"SSALy"	"nadp_c + h2o_c + sucsal_c --> (2) h_c + succ_c + nadph_c"	0	1000	0
"SUCptspp"	"pep_c + sucr_p --> pyr_c + suc6p_c"	0	1000	0
"SULabcpp"	"atp_c + h2o_c + so4_p --> h_c + adp_c + pi_c + so4_c"	0	1000	0
"TSULabcpp"	"atp_c + h2o_c + tsul_p --> h_c + adp_c + pi_c + tsul_c"	0	1000	0
"TARTRt7pp"	"tartr__L_p + succ_c <==> tartr__L_c + succ_p"	-1000	1000	0
"EX_dad_2_e"	"dad_2_e --> "	0	1000	0
"EX_ser_D_e"	"ser__D_e --> "	0	1000	0
"DDGALK"	"atp_c + 2dh3dgal_c --> h_c + adp_c + 2dh3dgal6p_c"	0	1000	0
"EX_gam6p_e"	"gam6p_e --> "	0	1000	0
"EX_15dap_e"	"15dap_e --> "	0	1000	0
"AB6PGH"	"arbt6p_c + h2o_c --> g6p_c + hqn_c"	0	1000	0
"EX_ocdcea_e"	"ocdcea_e --> "	0	1000	0
"EX_cynt_e"	"cynt_e --> "	0	1000	0
"EX_galctn_D_e"	"galctn__D_e --> "	0	1000	0
"AMALT1"	"malt_c + malttr_c --> glc__D_c + maltttr_c"	0	1000	0
"EX_glyb_e"	"glyb_e --> "	0	1000	0
"AHGDx"	"nad_c + S2hglut_c <==> akg_c + h_c + nadh_c"	-1000	1000	0
"MLTP2"	"pi_c + malthx_c <==> g1p_c + maltpt_c"	-1000	1000	0
"TAURabcpp"	"atp_c + h2o_c + taur_p --> h_c + adp_c + pi_c + taur_c"	0	1000	0
"THMDt2pp_copy1"	"h_p + thymd_p --> h_c + thymd_c"	0	1000	0
"3HCINNMH"	"h_c + o2_c + 3hcinnm_c + nadh_c --> dhcinnm_c + nad_c + h2o_c"	0	1000	0
"BSORx"	"h_c + nadh_c + btnso_c --> nad_c + h2o_c + btn_c"	0	1000	0
"PACCOAL"	"pac_c + atp_c + coa_c --> phaccoa_c + ppi_c + amp_c"	0	1000	0
"NMNt7pp"	"nmn_p + h2o_c --> r5p_c + h_c + ncam_c"	0	1000	0
"EX_ca2_e"	"ca2_e <==> "	-1000	1000	0
"EX_so3_e"	"so3_e --> "	0	1000	0
"GLUtex"	"glu__L_e <==> glu__L_p"	-1000	1000	0
"Kt2pp"	"h_p + k_p --> h_c + k_c"	0	1000	0
"GLYtex"	"gly_e <==> gly_p"	-1000	1000	0
"GP4GH"	"gp4g_c + h2o_c --> (2) h_c + (2) gdp_c"	0	1000	0
"GLYALDtex"	"glyald_e <==> glyald_p"	-1000	1000	0
"AKGt2rpp"	"h_p + akg_p <==> akg_c + h_c"	-1000	1000	0
"ACGAMT"	"uacgam_c + udcpp_c --> ump_c + unaga_c"	0	1000	0
"XYLt2pp"	"h_p + xyl__D_p --> h_c + xyl__D_c"	0	1000	0
"EX_ascb_L_e"	"ascb__L_e --> "	0	1000	0
"GLYBtex"	"glyb_e <==> glyb_p"	-1000	1000	0
"GLYCtex"	"glyc_e <==> glyc_p"	-1000	1000	0
"GLYC3Ptex"	"glyc3p_e <==> glyc3p_p"	-1000	1000	0
"GLYCLTtex"	"glyclt_e <==> glyclt_p"	-1000	1000	0
"GTPtex"	"gtp_e <==> gtp_p"	-1000	1000	0
"GUAtex"	"gua_e <==> gua_p"	-1000	1000	0
"Htex"	"h_e <==> h_p"	-1000	1000	0
"EX_ala_B_e"	"ala_B_e --> "	0	1000	0
"EX_agm_e"	"agm_e --> "	0	1000	0
"EX_minohp_e"	"minohp_e --> "	0	1000	0
"EX_ppt_e"	"ppt_e --> "	0	1000	0
"EX_hxa_e"	"hxa_e --> "	0	1000	0
"H2tex"	"h2_e <==> h2_p"	-1000	1000	0
"H2Otex"	"h2o_e <==> h2o_p"	-1000	1000	0
"AADDGT"	"unagamu_c + dtdp4aaddg_c --> h_c + unagamuf_c + dtdp_c"	0	1000	0
"FACOAL160t2pp"	"hdca_p + h_p + atp_c + coa_c --> h_c + ppi_c + pmtcoa_c + amp_c"	0	1000	0
"FACOAL180t2pp"	"h_p + atp_c + ocdca_p + coa_c --> h_c + ppi_c + stcoa_c + amp_c"	0	1000	0
"SPODMpp"	"(2) h_p + (2) o2s_p --> o2_p + h2o2_p"	0	1000	0
"EX_lyx_L_e"	"lyx__L_e --> "	0	1000	0
"EX_acmum_e"	"acmum_e --> "	0	1000	0
"EX_dca_e"	"dca_e --> "	0	1000	0
"EX_all_D_e"	"all__D_e --> "	0	1000	0
"NO3R1bpp"	"q8h2_c + no3_p --> h2o_p + no2_p + q8_c"	0	1000	0
"O2tpp"	"o2_p <==> o2_c"	-1000	1000	0
"EX_octa_e"	"octa_e --> "	0	1000	0
"PHYTSpp"	"(6) h2o_p + minohp_p --> inost_p + (6) pi_p"	0	1000	0
"EX_gbbtn_e"	"gbbtn_e --> "	0	1000	0
"PPTHpp"	"ppt_p + h2o_p --> pi_p + h2_p"	0	1000	0
"PYRt2rpp"	"pyr_p + h_p <==> h_c + pyr_c"	-1000	1000	0
"NO3R2pp"	"(2) h_c + mql8_c + no3_c --> (2) h_p + h2o_c + mqn8_c + no2_c"	0	1000	0
"EX_xylu_L_e"	"xylu__L_e --> "	0	1000	0
"EX_gdp_e"	"gdp_e --> "	0	1000	0
"EX_gtp_e"	"gtp_e --> "	0	1000	0
"NTP3pp"	"h2o_p + gtp_p --> h_p + gdp_p + pi_p"	0	1000	0
"NO3R2bpp"	"mql8_c + no3_p --> h2o_p + no2_p + mqn8_c"	0	1000	0
"THMabcpp"	"atp_c + h2o_c + thm_p --> h_c + adp_c + pi_c + thm_c"	0	1000	0
"THMDt2pp_copy2"	"h_p + thymd_p <==> h_c + thymd_c"	-1000	1000	0
"THRabcpp"	"atp_c + thr__L_p + h2o_c --> thr__L_c + h_c + adp_c + pi_c"	0	1000	0
"TREptspp"	"pep_c + tre_p --> tre6p_c + pyr_c"	0	1000	0
"THD2pp"	"(2) h_p + nadp_c + nadh_c --> (2) h_c + nad_c + nadph_c"	0	1000	0
"TMAOR1pp"	"h_p + tmao_p + mql8_c --> h2o_p + tma_p + mqn8_c"	0	1000	0
"TMAOR2pp"	"h_p + tmao_p + 2dmmql8_c --> h2o_p + tma_p + 2dmmq8_c"	0	1000	0
"XANtpp"	"xan_p <==> xan_c"	-1000	1000	0
"DAPtex"	"15dap_e <==> 15dap_p"	-1000	1000	0
"TRPt2rpp"	"h_p + trp__L_p <==> h_c + trp__L_c"	-1000	1000	0
"TYRt2rpp"	"tyr__L_p + h_p <==> h_c + tyr__L_c"	-1000	1000	0
"EX_tma_e"	"tma_e --> "	0	1000	0
"URIt2pp_copy1"	"uri_p + h_p --> h_c + uri_c"	0	1000	0
"URIt2pp_copy2"	"uri_p + h_p <==> h_c + uri_c"	-1000	1000	0
"VALabcpp"	"val__L_p + atp_c + h2o_c --> h_c + adp_c + pi_c + val__L_c"	0	1000	0
"12PPDStex"	"12ppd__S_e <==> 12ppd__S_p"	-1000	1000	0
"DDGLCNtex"	"2ddglcn_e <==> 2ddglcn_p"	-1000	1000	0
"XTSNt2rpp"	"h_p + xtsn_p <==> h_c + xtsn_c"	-1000	1000	0
"XYLabcpp"	"atp_c + xyl__D_p + h2o_c --> h_c + adp_c + pi_c + xyl__D_c"	0	1000	0
"GMHEPK"	"atp_c + gmhep7p_c --> h_c + adp_c + gmhep17bp_c"	0	1000	0
"XYLUt2pp"	"h_p + xylu__L_p --> h_c + xylu__L_c"	0	1000	0
"THRt4pp"	"na1_p + thr__L_p --> thr__L_c + na1_c"	0	1000	0
"GALURtex"	"galur_e <==> galur_p"	-1000	1000	0
"GTPCI"	"h2o_c + gtp_c --> h_c + ahdt_c + for_c"	0	1000	0
"FDMO"	"o2_c + isetac_c + fmnh2_c --> h_c + so3_c + h2o_c + fmn_c + gcald_c"	0	1000	0
"FEOXAMabcpp"	"atp_c + h2o_c + feoxam_p --> h_c + adp_c + pi_c + feoxam_c"	0	1000	0
"EX_fruur_e"	"fruur_e --> "	0	1000	0
"GALtex"	"gal_e <==> gal_p"	-1000	1000	0
"CBL1abcpp"	"atp_c + h2o_c + cbl1_p --> h_c + cbl1_c + adp_c + pi_c"	0	1000	0
"EX_malttr_e"	"malttr_e --> "	0	1000	0
"ACACt2pp"	"h_p + acac_p <==> h_c + acac_c"	-1000	1000	0
"ACGAptspp"	"pep_c + acgam_p --> acgam6p_c + pyr_c"	0	1000	0
"ACMANAptspp"	"pep_c + acmana_p --> acmanap_c + pyr_c"	0	1000	0
"ACNAMt2pp"	"acnam_p + h_p --> h_c + acnam_c"	0	1000	0
"GALCTtex"	"galct__D_e <==> galct__D_p"	-1000	1000	0
"GALCTNtex"	"galctn__D_e <==> galctn__D_p"	-1000	1000	0
"GALTtex"	"galt_e <==> galt_p"	-1000	1000	0
"EX_cbi_e"	"cbi_e --> "	0	1000	0
"CHOLD"	"nad_c + chol_c --> h_c + betald_c + nadh_c"	0	1000	0
"TRE6PS"	"udpg_c + g6p_c --> h_c + tre6p_c + udp_c"	0	1000	0
"DRPA"	"2dr5p_c --> g3p_c + acald_c"	0	1000	0
"TKT2"	"xu5p__D_c + e4p_c <==> g3p_c + f6p_c"	-1000	1000	0
"EX_arbtn_fe3_e"	"arbtn_fe3_e --> "	0	1000	0
"UDCPDP"	"udcpdp_c + h2o_c --> h_c + pi_c + udcpp_c"	0	1000	0
"EX_cpgn_e"	"cpgn_e --> "	0	1000	0
"EX_ch4_e"	"ch4_e --> "	0	1000	0
"FEENTERabcpp"	"atp_c + h2o_c + feenter_p --> h_c + adp_c + pi_c + feenter_c"	0	1000	0
"EX_adocbl_e"	"adocbl_e --> "	0	1000	0
"FECRMabcpp"	"atp_c + fecrm_p + h2o_c --> h_c + adp_c + pi_c + fecrm_c"	0	1000	0
"TREH"	"tre_c + h2o_c --> (2) glc__D_c"	0	1000	0
"GAMtex"	"gam_e <==> gam_p"	-1000	1000	0
"GBBTNtex"	"gbbtn_e <==> gbbtn_p"	-1000	1000	0
"ATPS4rpp"	"(4) h_p + adp_c + pi_c <==> (3) h_c + atp_c + h2o_c"	-1000	1000	0
"INDOLEtex"	"indole_e <==> indole_p"	-1000	1000	0
"ARBt2rpp"	"h_p + arab__L_p <==> h_c + arab__L_c"	-1000	1000	0
"CYTK1"	"atp_c + cmp_c <==> adp_c + cdp_c"	-1000	1000	0
"DAPabcpp"	"atp_c + 26dap__M_p + h2o_c --> h_c + adp_c + pi_c + 26dap__M_c"	0	1000	0
"L_LACtex"	"lac__L_e <==> lac__L_p"	-1000	1000	0
"ACt4pp"	"na1_p + ac_p --> ac_c + na1_c"	0	1000	0
"ADEt2rpp"	"h_p + ade_p <==> h_c + ade_c"	-1000	1000	0
"CO2tpp"	"co2_p <==> co2_c"	-1000	1000	0
"DHAtpp"	"dha_p <==> dha_c"	-1000	1000	0
"DMSOR1pp"	"dmso_p + mql8_c --> h2o_p + dms_p + mqn8_c"	0	1000	0
"ARGabcpp"	"atp_c + h2o_c + arg__L_p --> h_c + arg__L_c + adp_c + pi_c"	0	1000	0
"ADNt2pp_copy1"	"h_p + adn_p --> h_c + adn_c"	0	1000	0
"ADNt2pp_copy2"	"h_p + adn_p <==> h_c + adn_c"	-1000	1000	0
"ALAabcpp"	"atp_c + h2o_c + ala__L_p --> h_c + adp_c + pi_c + ala__L_c"	0	1000	0
"ALLabcpp"	"all__D_p + atp_c + h2o_c --> h_c + all__D_c + adp_c + pi_c"	0	1000	0
"ALLTNt2rpp"	"h_p + alltn_p <==> h_c + alltn_c"	-1000	1000	0
"ARBabcpp"	"atp_c + h2o_c + arab__L_p --> h_c + adp_c + pi_c + arab__L_c"	0	1000	0
"ARGAGMt7pp"	"agm_c + arg__L_p <==> arg__L_c + agm_p"	-1000	1000	0
"ASCBptspp"	"pep_c + ascb__L_p --> ascb6p_c + pyr_c"	0	1000	0
"CYTK2"	"atp_c + dcmp_c <==> adp_c + dcdp_c"	-1000	1000	0
"ASNt2rpp"	"h_p + asn__L_p <==> h_c + asn__L_c"	-1000	1000	0
"ASPabcpp"	"atp_c + asp__L_p + h2o_c --> h_c + asp__L_c + adp_c + pi_c"	0	1000	0
"ASPt2pp"	"h_p + asp__L_p --> h_c + asp__L_c"	0	1000	0
"ECOAH8"	"3hodcoa_c <==> od2coa_c + h2o_c"	-1000	1000	0
"GLCDpp"	"h2o_p + glc__D_p + q8_c --> h_p + glcn_p + q8h2_c"	0	1000	0
"GUAtpp"	"gua_p <==> gua_c"	-1000	1000	0
"ASPt2_2pp"	"(2) h_p + asp__L_p --> (2) h_c + asp__L_c"	0	1000	0
"HYD2pp"	"(2) h_c + mqn8_c + h2_c --> (2) h_p + mql8_c"	0	1000	0
"GK1"	"atp_c + gmp_c <==> adp_c + gdp_c"	-1000	1000	0
"HYXNtpp"	"hxan_p <==> hxan_c"	-1000	1000	0
"NACtpp"	"nac_p --> nac_c"	0	1000	0
"ASPt2_3pp"	"(3) h_p + asp__L_p --> (3) h_c + asp__L_c"	0	1000	0
"HIStex"	"his__L_e <==> his__L_p"	-1000	1000	0
"FE3DCITabcpp"	"atp_c + h2o_c + fe3dcit_p --> h_c + adp_c + pi_c + fe3_c + (2) cit_c"	0	1000	0
"HXAtex"	"hxa_e <==> hxa_p"	-1000	1000	0
"HACD1"	"h_c + aacoa_c + nadh_c <==> 3hbcoa_c + nad_c"	-1000	1000	0
"HYXNtex"	"hxan_e <==> hxan_p"	-1000	1000	0
"IDONtex"	"idon__L_e <==> idon__L_p"	-1000	1000	0
"ILEtex"	"ile__L_e <==> ile__L_p"	-1000	1000	0
"INSTtex"	"inost_e <==> inost_p"	-1000	1000	0
"INStex"	"ins_e <==> ins_p"	-1000	1000	0
"Ktex"	"k_e <==> k_p"	-1000	1000	0
"CPGNtonex"	"h_p + cpgn_e --> h_c + cpgn_p"	0	1000	0
"GLCRtex"	"glcr_e <==> glcr_p"	-1000	1000	0
"GLCNtex"	"glcn_e <==> glcn_p"	-1000	1000	0
"GLCURtex"	"glcur_e <==> glcur_p"	-1000	1000	0
"GLNtex"	"gln__L_e <==> gln__L_p"	-1000	1000	0
"O2tex"	"o2_e <==> o2_p"	-1000	1000	0
"EX_ppa_e"	"ppa_e --> "	0	1000	0
"HACD2"	"h_c + 3ohcoa_c + nadh_c <==> nad_c + 3hhcoa_c"	-1000	1000	0
"OCTAtex"	"octa_e <==> octa_p"	-1000	1000	0
"D_LACtex"	"lac__D_e <==> lac__D_p"	-1000	1000	0
"NTD8pp"	"h2o_p + dgmp_p --> dgsn_p + pi_p"	0	1000	0
"ORNtex"	"orn_e <==> orn_p"	-1000	1000	0
"FRULYStex"	"frulys_e <==> frulys_p"	-1000	1000	0
"MALTtexi"	"malt_e --> malt_p"	0	1000	0
"ECOAH5"	"3hddcoa_c <==> h2o_c + dd2coa_c"	-1000	1000	0
"DHFS"	"atp_c + glu__L_c + dhpt_c --> h_c + adp_c + pi_c + dhf_c"	0	1000	0
"CITt7pp"	"cit_p + succ_c --> succ_p + cit_c"	0	1000	0
"CRNt7pp"	"gbbtn_c + crn_p --> gbbtn_p + crn_c"	0	1000	0
"EX_ni2_e"	"ni2_e <==> "	-1000	1000	0
"GLCtex_copy1"	"glc__D_e --> glc__D_p"	0	1000	0
"EX_no_e"	"no_e --> "	0	1000	0
"CHLabcpp"	"atp_c + chol_p + h2o_c --> h_c + chol_c + adp_c + pi_c"	0	1000	0
"DGSNt2pp"	"h_p + dgsn_p --> h_c + dgsn_c"	0	1000	0
"FE3DCITtonex"	"h_p + fe3dcit_e --> h_c + fe3dcit_p"	0	1000	0
"DINSt2pp"	"din_p + h_p --> h_c + din_c"	0	1000	0
"DURIt2pp"	"h_p + duri_p --> duri_c + h_c"	0	1000	0
"FE2abcpp"	"fe2_p + atp_c + h2o_c --> h_c + adp_c + pi_c + fe2_c"	0	1000	0
"FRUptspp"	"pep_c + fru_p --> f1p_c + pyr_c"	0	1000	0
"FUCtpp"	"h_p + fuc__L_p <==> h_c + fuc__L_c"	-1000	1000	0
"EX_fad_e"	"fad_e --> "	0	1000	0
"GALCTt2rpp"	"h_p + galct__D_p <==> h_c + galct__D_c"	-1000	1000	0
"GALt2pp"	"h_p + gal_p --> h_c + gal_c"	0	1000	0
"ASPtex"	"asp__L_e <==> asp__L_p"	-1000	1000	0
"ABUTt2pp"	"h_p + 4abut_p --> h_c + 4abut_c"	0	1000	0
"FUMt2_2pp"	"fum_p + (2) h_p --> (2) h_c + fum_c"	0	1000	0
"FUMt2_3pp"	"fum_p + (3) h_p --> (3) h_c + fum_c"	0	1000	0
"PHEtex"	"phe__L_e <==> phe__L_p"	-1000	1000	0
"FEENTERtonex"	"feenter_e + h_p --> h_c + feenter_p"	0	1000	0
"CSNt2pp"	"h_p + csn_p --> h_c + csn_c"	0	1000	0
"CYNTt2pp"	"h_p + cynt_p --> h_c + cynt_c"	0	1000	0
"CYSabcpp"	"atp_c + cys__L_p + h2o_c --> h_c + adp_c + pi_c + cys__L_c"	0	1000	0
"SBTptspp"	"pep_c + sbt__D_p --> sbt6p_c + pyr_c"	0	1000	0
"PItex"	"pi_e <==> pi_p"	-1000	1000	0
"TREHpp"	"h2o_p + tre_p --> (2) glc__D_p"	0	1000	0
"CYTBDpp"	"(2) h_c + (0.5) o2_c + q8h2_c --> (2) h_p + h2o_c + q8_c"	0	1000	0
"CYTDt2pp_copy1"	"h_p + cytd_p --> h_c + cytd_c"	0	1000	0
"CYTDt2pp_copy2"	"h_p + cytd_p <==> h_c + cytd_c"	-1000	1000	0
"DADNt2pp"	"h_p + dad_2_p --> h_c + dad_2_c"	0	1000	0
"DCYTt2pp"	"dcyt_p + h_p --> h_c + dcyt_c"	0	1000	0
"CYTBD2pp"	"(2) h_c + (0.5) o2_c + mql8_c --> (2) h_p + h2o_c + mqn8_c"	0	1000	0
"ACGAMK"	"atp_c + acgam_c --> h_c + acgam6p_c + adp_c"	0	1000	0
"ACALDtpp"	"acald_p <==> acald_c"	-1000	1000	0
"ACt2rpp"	"h_p + ac_p <==> ac_c + h_c"	-1000	1000	0
"DDGLCNt2rpp"	"h_p + 2ddglcn_p <==> 2ddglcn_c + h_c"	-1000	1000	0
"RMNtex"	"rmn_e <==> rmn_p"	-1000	1000	0
"EX_meoh_e"	"meoh_e --> "	0	1000	0
"EX_fe3dcit_e"	"fe3dcit_e --> "	0	1000	0
"EX_fe3hox_e"	"fe3hox_e --> "	0	1000	0
"EX_fecrm_e"	"fecrm_e --> "	0	1000	0
"EX_feenter_e"	"feenter_e --> "	0	1000	0
"EX_feoxam_e"	"feoxam_e --> "	0	1000	0
"MALTTRtexi"	"malttr_e --> malttr_p"	0	1000	0
"MALTTTRtexi"	"maltttr_e --> maltttr_p"	0	1000	0
"MALTPTtexi"	"maltpt_e --> maltpt_p"	0	1000	0
"METS"	"5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c"	0	1000	0
"ASPO3"	"asp__L_c + q8_c --> h_c + q8h2_c + iasp_c"	0	1000	0
"ASPO5"	"asp__L_c + fum_c --> h_c + iasp_c + succ_c"	0	1000	0
"ASPO4"	"asp__L_c + mqn8_c --> h_c + mql8_c + iasp_c"	0	1000	0
"EX_3amp_e"	"3amp_e --> "	0	1000	0
"EX_3gmp_e"	"3gmp_e --> "	0	1000	0
"EX_3ump_e"	"3ump_e --> "	0	1000	0
"ASPO6"	"asp__L_c + o2_c --> h_c + h2o2_c + iasp_c"	0	1000	0
"EX_cu2_e"	"cu2_e <==> "	-1000	1000	0
"LCTStex"	"lcts_e <==> lcts_p"	-1000	1000	0
"LEUtex"	"leu__L_e <==> leu__L_p"	-1000	1000	0
"LYStex"	"lys__L_e <==> lys__L_p"	-1000	1000	0
"EX_glyc_R_e"	"glyc__R_e --> "	0	1000	0
"EX_eca4colipa_e"	"eca4colipa_e --> "	0	1000	0
"GLYOX3"	"mthgxl_c + h2o_c --> h_c + lac__D_c"	0	1000	0
"FDMO3"	"o2_c + fmnh2_c + ethso3_c --> h_c + so3_c + h2o_c + fmn_c + acald_c"	0	1000	0
"LYXtex"	"lyx__L_e <==> lyx__L_p"	-1000	1000	0
"MANtex"	"man_e <==> man_p"	-1000	1000	0
"MAN6Ptex"	"man6p_e <==> man6p_p"	-1000	1000	0
"FDMO4"	"o2_c + butso3_c + fmnh2_c --> btal_c + h_c + so3_c + h2o_c + fmn_c"	0	1000	0
"CYSabc2pp"	"cys__L_c + atp_c + h2o_c --> h_c + adp_c + pi_c + cys__L_p"	0	1000	0
"BUTSO3abcpp"	"atp_c + butso3_p + h2o_c --> h_c + adp_c + pi_c + butso3_c"	0	1000	0
"ETHSO3abcpp"	"atp_c + h2o_c + ethso3_p --> h_c + adp_c + pi_c + ethso3_c"	0	1000	0
"MELIBtex"	"melib_e <==> melib_p"	-1000	1000	0
"DMSOtex"	"dmso_e <==> dmso_p"	-1000	1000	0
"DURItex"	"duri_e <==> duri_p"	-1000	1000	0
"EX_mal_D_e"	"mal__D_e --> "	0	1000	0
"FRUtex"	"fru_e <==> fru_p"	-1000	1000	0
"FUCtex"	"fuc__L_e <==> fuc__L_p"	-1000	1000	0
"EX_sel_e"	"sel_e <==> "	-1000	1000	0
"EX_hg2_e"	"hg2_e --> "	0	1000	0
"O16GLCT1"	"udpg_c + aragund_c --> h_c + garagund_c + udp_c"	0	1000	0
"O16AP2pp"	"o16aund_p + o16a2und_p --> udcpdp_p + h_p + o16a3und_p"	0	1000	0
"O16AP3pp"	"o16aund_p + o16a3und_p --> udcpdp_p + h_p + o16a4und_p"	0	1000	0
"FUMtex"	"fum_e <==> fum_p"	-1000	1000	0
"ACACT5r"	"accoa_c + dcacoa_c <==> 3oddcoa_c + coa_c"	-1000	1000	0
"O16A4Lpp"	"o16a4und_p + colipa_p --> udcpdp_p + h_p + o16a4colipa_p"	0	1000	0
"PRASCSi"	"asp__L_c + 5aizc_c + atp_c --> h_c + adp_c + pi_c + 25aics_c"	0	1000	0
"MALTATr"	"accoa_c + malt_c <==> acmalt_c + coa_c"	-1000	1000	0
"DHBSH"	"h2o_c + 23dhbzs_c --> ser__L_c + 23dhb_c"	0	1000	0
"MALDDH"	"nad_c + mal__D_c --> pyr_c + nadh_c + co2_c"	0	1000	0
"FE2tex"	"fe2_e <==> fe2_p"	-1000	1000	0
"NMNtex"	"nmn_e <==> nmn_p"	-1000	1000	0
"ENTERES"	"(3) h2o_c + enter_c --> (3) h_c + (3) 23dhbzs_c"	0	1000	0
"NO2tex"	"no2_e <==> no2_p"	-1000	1000	0
"TRSARr"	"h_c + 2h3oppan_c + nadh_c <==> nad_c + glyc__R_c"	-1000	1000	0
"DHPS2"	"6hmhptpp_c + 4abz_c --> ppi_c + dhpt_c"	0	1000	0
"FEOXAMUtex"	"h_p + feoxam_un_p --> h_c + feoxam_un_e"	0	1000	0
"ARBTNtpp"	"h_p + arbtn_c --> arbtn_p + h_c"	0	1000	0
"MTHFC"	"h2o_c + methf_c <==> 10fthf_c + h_c"	-1000	1000	0
"ARBTNtex"	"arbtn_p + h_p --> arbtn_e + h_c"	0	1000	0
"MTHFD"	"nadp_c + mlthf_c <==> methf_c + nadph_c"	-1000	1000	0
"LYXI"	"lyx__L_c --> xylu__L_c"	0	1000	0
"BUTt2rpp"	"h_p + but_p <==> h_c + but_c"	-1000	1000	0
"CADVtpp"	"h_p + 15dap_c + lys__L_p --> h_c + 15dap_p + lys__L_c"	0	1000	0
"QULNS"	"dhap_c + iasp_c --> quln_c + pi_c + (2) h2o_c"	0	1000	0
"23CAMPtex"	"23camp_e <==> 23camp_p"	-1000	1000	0
"23CCMPtex"	"23ccmp_e <==> 23ccmp_p"	-1000	1000	0
"23CUMPtex"	"23cump_e <==> 23cump_p"	-1000	1000	0
"23CGMPtex"	"23cgmp_e <==> 23cgmp_p"	-1000	1000	0
"3AMPtex"	"3amp_e <==> 3amp_p"	-1000	1000	0
"3CMPtex"	"3cmp_e <==> 3cmp_p"	-1000	1000	0
"LADGMDH"	"h2o_c + LalaDgluMdap_c --> 26dap__M_c + LalaDglu_c"	0	1000	0
"ALKP"	"dhap_c + h2o_c --> pi_c + dha_c"	0	1000	0
"GDPtex"	"gdp_e <==> gdp_p"	-1000	1000	0
"EX_cobalt2_e"	"cobalt2_e <==> "	-1000	1000	0
"ALAGLUE"	"LalaDglu_c <==> LalaLglu_c"	-1000	1000	0
"FEENTERtpp"	"h_p + enter_c --> h_c + enter_p"	0	1000	0
"TMAtex"	"tma_e <==> tma_p"	-1000	1000	0
"EX_pheme_e"	"pheme_e --> "	0	1000	0
"TMAOtex"	"tmao_e <==> tmao_p"	-1000	1000	0
"TREtex"	"tre_e <==> tre_p"	-1000	1000	0
"L_LACD3"	"mqn8_c + lac__L_c --> mql8_c + pyr_c"	0	1000	0
"FEENTERtex"	"h_p + enter_p --> h_c + enter_e"	0	1000	0
"FE3HOXUtpp"	"h_p + fe3hox_un_p --> h_c + fe3hox_un_e"	0	1000	0
"FEOXAMUtpp"	"h_p + feoxam_un_c --> h_c + feoxam_un_p"	0	1000	0
"FECRMUtpp"	"fecrm_un_c + h_p --> h_c + fecrm_un_p"	0	1000	0
